álbum;musica;letra
Legião Urbana;Será;Tire suas mãos de mim
Legião Urbana;Será;Eu não pertenço a você
Legião Urbana;Será;Não é me dominando assim
Legião Urbana;Será;Que você vai me entender
Legião Urbana;Será;Eu posso estar sozinho
Legião Urbana;Será;Mas eu sei muito bem aonde estou
Legião Urbana;Será;Você pode até duvidar
Legião Urbana;Será;Acho que isso não é amor
Legião Urbana;Será;Será só imaginação?
Legião Urbana;Será;Será que nada vai acontecer?
Legião Urbana;Será;Será que é tudo isso em vão?
Legião Urbana;Será;Será que vamos conseguir vencer?
Legião Urbana;Será;Oh, oh, oh, oh, oh, oh
Legião Urbana;Será;Nos perderemos entre monstros
Legião Urbana;Será;Da nossa própria criação
Legião Urbana;Será;Serão noites inteiras
Legião Urbana;Será;Talvez por medo da escuridão
Legião Urbana;Será;Ficaremos acordados
Legião Urbana;Será;Imaginando alguma solução
Legião Urbana;Será;Pra que esse nosso egoísmo
Legião Urbana;Será;Não destrua o nosso coração
Legião Urbana;Será;Será só imaginação?
Legião Urbana;Será;Será que nada vai acontecer?
Legião Urbana;Será;Será que é tudo isso em vão?
Legião Urbana;Será;Será que vamos conseguir vencer?
Legião Urbana;Será;Oh, oh, oh, oh, oh, oh
Legião Urbana;Será;Brigar pra quê, se é sem querer?
Legião Urbana;Será;Quem é que vai nos proteger?
Legião Urbana;Será;Será que vamos ter de responder
Legião Urbana;Será;Pelos erros a mais, eu e você?
Legião Urbana;A Dança;Não sei o que é direito
Legião Urbana;A Dança;Só vejo preconceito
Legião Urbana;A Dança;E a sua roupa nova
Legião Urbana;A Dança;É só uma roupa nova
Legião Urbana;A Dança;Você não tem ideias
Legião Urbana;A Dança;Pra acompanhar a moda
Legião Urbana;A Dança;Tratando as meninas
Legião Urbana;A Dança;Como se fossem lixo
Legião Urbana;A Dança;Ou então espécie rara
Legião Urbana;A Dança;Só a você pertence
Legião Urbana;A Dança;Ou então espécie rara
Legião Urbana;A Dança;Que você não respeita
Legião Urbana;A Dança;Ou então espécie rara
Legião Urbana;A Dança;Que é só um objeto
Legião Urbana;A Dança;Pra usar e jogar fora
Legião Urbana;A Dança;Depois de ter prazer
Legião Urbana;A Dança;Você é tão moderno
Legião Urbana;A Dança;Se acha tão moderno
Legião Urbana;A Dança;Mas é igual a seus pais
Legião Urbana;A Dança;É só questão de idade
Legião Urbana;A Dança;Passando dessa fase
Legião Urbana;A Dança;Tanto fez e tanto faz
Legião Urbana;A Dança;Você com as suas drogas
Legião Urbana;A Dança;E as suas teorias
Legião Urbana;A Dança;E a sua rebeldia
Legião Urbana;A Dança;E a sua solidão
Legião Urbana;A Dança;Vive com seus excessos
Legião Urbana;A Dança;Mas não tem mais dinheiro
Legião Urbana;A Dança;Pra comprar outra fuga
Legião Urbana;A Dança;Sair de casa então
Legião Urbana;A Dança;Então é outra festa
Legião Urbana;A Dança;É outra sexta-feira
Legião Urbana;A Dança;Que se dane o futuro
Legião Urbana;A Dança;Você tem a vida inteira
Legião Urbana;A Dança;Você é tão esperto
Legião Urbana;A Dança;Você está tão certo
Legião Urbana;A Dança;Mas você nunca dançou
Legião Urbana;A Dança;Com ódio de verdade
Legião Urbana;A Dança;Você é tão esperto
Legião Urbana;A Dança;Você está tão certo
Legião Urbana;A Dança;Que você nunca vai errar
Legião Urbana;A Dança;Mas a vida deixa marcas
Legião Urbana;A Dança;Tenha cuidado
Legião Urbana;A Dança;Se um dia você dançar
Legião Urbana;A Dança;Nós somos tão modernos
Legião Urbana;A Dança;Só não somos sinceros
Legião Urbana;A Dança;Nos escondemos mais e mais
Legião Urbana;A Dança;É só questão de idade
Legião Urbana;A Dança;Passando dessa fase
Legião Urbana;A Dança;Tanto fez e tanto faz
Legião Urbana;A Dança;Você é tão esperto
Legião Urbana;A Dança;Você está tão certo
Legião Urbana;A Dança;Que você nunca vai errar
Legião Urbana;A Dança;Mas a vida deixa marcas
Legião Urbana;A Dança;Tenha cuidado
Legião Urbana;A Dança;Se um dia você dançar
Legião Urbana;Petróleo do Futuro;Ah, se eu soubesse lhe dizer
Legião Urbana;Petróleo do Futuro;O que eu sonhei ontem à noite, você ia querer
Legião Urbana;Petróleo do Futuro;Me dizer tudo sobre o seu sonho também
Legião Urbana;Petróleo do Futuro;E o que é que eu tenho a ver com isso?
Legião Urbana;Petróleo do Futuro;Ah, se eu soubesse lhe dizer
Legião Urbana;Petróleo do Futuro;O que eu vi ontem à noite, você ia querer
Legião Urbana;Petróleo do Futuro;Ver, mas não ia acreditar
Legião Urbana;Petróleo do Futuro;E o que é que eu tenho a ver com isso?
Legião Urbana;Petróleo do Futuro;Filósofos suicidas
Legião Urbana;Petróleo do Futuro;Agricultores famintos
Legião Urbana;Petróleo do Futuro;Desaparecendo
Legião Urbana;Petróleo do Futuro;Embaixo dos arquivos
Legião Urbana;Petróleo do Futuro;Ah, se eu soubesse lhe dizer
Legião Urbana;Petróleo do Futuro;Qual é a sua tribo, também saberia
Legião Urbana;Petróleo do Futuro;Qual é a minha, mas você também não sabe
Legião Urbana;Petróleo do Futuro;E o que é que eu tenho a ver com isso?
Legião Urbana;Petróleo do Futuro;Ah, se eu soubesse lhe dizer
Legião Urbana;Petróleo do Futuro;O que fazer pra todo mundo ficar junto
Legião Urbana;Petróleo do Futuro;Todo mundo já estava há muito tempo
Legião Urbana;Petróleo do Futuro;E o que é que eu tenho a ver com isso?
Legião Urbana;Petróleo do Futuro;Sou brasileiro errado
Legião Urbana;Petróleo do Futuro;Vivendo em separado
Legião Urbana;Petróleo do Futuro;Contando os vencidos
Legião Urbana;Petróleo do Futuro;De todos os lados
Legião Urbana;Petróleo do Futuro;Ah, se eu soubesse lhe dizer
Legião Urbana;Petróleo do Futuro;O que fazer pra todo mundo ficar junto
Legião Urbana;Petróleo do Futuro;Todo mundo já estava há muito tempo
Legião Urbana;Petróleo do Futuro;E o que é que eu tenho a ver com isso?
Legião Urbana;Petróleo do Futuro;Filósofos suicidas
Legião Urbana;Petróleo do Futuro;Agricultores famintos
Legião Urbana;Petróleo do Futuro;Desaparecendo
Legião Urbana;Petróleo do Futuro;Embaixo dos arquivos
Legião Urbana;Ainda é Cedo;Uma menina me ensinou
Legião Urbana;Ainda é Cedo;Quase tudo que eu sei
Legião Urbana;Ainda é Cedo;Era quase escravidão
Legião Urbana;Ainda é Cedo;Mas ela me tratava como um rei
Legião Urbana;Ainda é Cedo;Ela fazia muitos planos
Legião Urbana;Ainda é Cedo;Eu só queria estar ali
Legião Urbana;Ainda é Cedo;Sempre ao lado dela
Legião Urbana;Ainda é Cedo;Eu não tinha aonde ir
Legião Urbana;Ainda é Cedo;Mas egoísta que eu sou
Legião Urbana;Ainda é Cedo;Me esqueci de ajudar
Legião Urbana;Ainda é Cedo;A ela como ela me ajudou
Legião Urbana;Ainda é Cedo;E não quis me separar
Legião Urbana;Ainda é Cedo;Ela também estava perdida
Legião Urbana;Ainda é Cedo;E por isso se agarrava a mim também
Legião Urbana;Ainda é Cedo;E eu me agarrava a ela
Legião Urbana;Ainda é Cedo;Porque eu não tinha mais ninguém
Legião Urbana;Ainda é Cedo;E eu dizia ainda é cedo
Legião Urbana;Ainda é Cedo;Cedo, cedo, cedo, cedo
Legião Urbana;Ainda é Cedo;E eu dizia ainda é cedo
Legião Urbana;Ainda é Cedo;Cedo, cedo, cedo, cedo
Legião Urbana;Ainda é Cedo;Ah, eu dizia ainda é cedo
Legião Urbana;Ainda é Cedo;Cedo, cedo, cedo, cedo
Legião Urbana;Ainda é Cedo;Ah, eu dizia ainda é cedo
Legião Urbana;Ainda é Cedo;Sei que ela terminou
Legião Urbana;Ainda é Cedo;O que eu não comecei
Legião Urbana;Ainda é Cedo;E o que ela descobriu
Legião Urbana;Ainda é Cedo;Eu aprendi também, eu sei
Legião Urbana;Ainda é Cedo;Ela falou: Você tem medo
Legião Urbana;Ainda é Cedo;Aí eu disse: Quem tem medo é você
Legião Urbana;Ainda é Cedo;Falamos o que não devia
Legião Urbana;Ainda é Cedo;Nunca ser dito por ninguém
Legião Urbana;Ainda é Cedo;Ela me disse: Eu não sei
Legião Urbana;Ainda é Cedo;Mais o que eu sinto por você
Legião Urbana;Ainda é Cedo;Vamos dar um tempo
Legião Urbana;Ainda é Cedo;Um dia a gente se vê
Legião Urbana;Ainda é Cedo;E eu dizia ainda é cedo
Legião Urbana;Ainda é Cedo;Cedo, cedo, cedo, cedo
Legião Urbana;Ainda é Cedo;E eu dizia ainda é cedo
Legião Urbana;Ainda é Cedo;Cedo, cedo, cedo, cedo
Legião Urbana;Ainda é Cedo;Ah, eu dizia ainda é cedo
Legião Urbana;Ainda é Cedo;Cedo, cedo, cedo, cedo
Legião Urbana;Ainda é Cedo;Ah, eu dizia ainda é cedo.
Legião Urbana;Perdidos no Espaço;Escrevi pra você, você não respondeu
Legião Urbana;Perdidos no Espaço;Também não respondi quando você me escreveu
Legião Urbana;Perdidos no Espaço;Anotei seu telefone num pedaço de papel
Legião Urbana;Perdidos no Espaço;Calculei seu ascendente no recibo do aluguel
Legião Urbana;Perdidos no Espaço;Esqueci seu sobrenome
Legião Urbana;Perdidos no Espaço;Mas me lembro de você
Legião Urbana;Perdidos no Espaço;E a rotina crescia como planta
Legião Urbana;Perdidos no Espaço;E engolia a metade do caminho
Legião Urbana;Perdidos no Espaço;E a mudança levou tempo por ser tão veloz
Legião Urbana;Perdidos no Espaço;Enquanto estávamos a salvo
Legião Urbana;Perdidos no Espaço;Ficamos suspensos
Legião Urbana;Perdidos no Espaço;Perdidos no espaço
Legião Urbana;Perdidos no Espaço;Ficamos suspensos
Legião Urbana;Perdidos no Espaço;Perdidos no espaço
Legião Urbana;Perdidos no Espaço;Escrevi pra você, você não respondeu
Legião Urbana;Perdidos no Espaço;Também não respondi quando você me escreveu
Legião Urbana;Perdidos no Espaço;Anotei seu telefone num pedaço de papel
Legião Urbana;Perdidos no Espaço;Calculei seu ascendente no recibo do aluguel
Legião Urbana;Perdidos no Espaço;Esqueci seu sobrenome
Legião Urbana;Perdidos no Espaço;Mas me lembro de você
Legião Urbana;Perdidos no Espaço;E era como se jogassem Space Invaders
Legião Urbana;Perdidos no Espaço;Perdendo mais dinheiro de muitas maneiras
Legião Urbana;Perdidos no Espaço;Vivendo num planeta, perdido como nós
Legião Urbana;Perdidos no Espaço;Quem sabe ainda estamos a salvo?
Legião Urbana;Perdidos no Espaço;Ficamos suspensos
Legião Urbana;Perdidos no Espaço;Perdidos no espaço
Legião Urbana;Perdidos no Espaço;Ficamos suspensos
Legião Urbana;Perdidos no Espaço;Perdidos no espaço
Legião Urbana;Geração Coca-Cola;Quando nascemos fomos programados
Legião Urbana;Geração Coca-Cola;A receber o que vocês
Legião Urbana;Geração Coca-Cola;Nos empurraram com os enlatados
Legião Urbana;Geração Coca-Cola;Dos U.S.A., de nove às seis
Legião Urbana;Geração Coca-Cola;Desde pequenos nós comemos lixo
Legião Urbana;Geração Coca-Cola;Comercial e industrial
Legião Urbana;Geração Coca-Cola;Mas agora chegou nossa vez
Legião Urbana;Geração Coca-Cola;Vamos cuspir de volta o lixo em cima de vocês
Legião Urbana;Geração Coca-Cola;Somos os filhos da revolução
Legião Urbana;Geração Coca-Cola;Somos burgueses sem religião
Legião Urbana;Geração Coca-Cola;Somos o futuro da nação
Legião Urbana;Geração Coca-Cola;Geração Coca-Cola
Legião Urbana;Geração Coca-Cola;Depois de 20 anos na escola
Legião Urbana;Geração Coca-Cola;Não é difícil aprender
Legião Urbana;Geração Coca-Cola;Todas as manhas do seu jogo sujo
Legião Urbana;Geração Coca-Cola;Não é assim que tem que ser
Legião Urbana;Geração Coca-Cola;Vamos fazer nosso dever de casa
Legião Urbana;Geração Coca-Cola;E aí então vocês vão ver
Legião Urbana;Geração Coca-Cola;Suas crianças derrubando reis
Legião Urbana;Geração Coca-Cola;Fazer comédia no cinema com as suas leis
Legião Urbana;Geração Coca-Cola;Somos os filhos da revolução
Legião Urbana;Geração Coca-Cola;Somos burgueses sem religião
Legião Urbana;Geração Coca-Cola;Somos o futuro da nação
Legião Urbana;Geração Coca-Cola;Geração Coca-Cola
Legião Urbana;Geração Coca-Cola;Geração Coca-Cola
Legião Urbana;Geração Coca-Cola;Geração Coca-Cola
Legião Urbana;Geração Coca-Cola;Geração Coca-Cola
Legião Urbana;Geração Coca-Cola;Depois de 20 anos na escola
Legião Urbana;Geração Coca-Cola;Não é difícil aprender
Legião Urbana;Geração Coca-Cola;Todas as manhas do seu jogo sujo
Legião Urbana;Geração Coca-Cola;Não é assim que tem que ser
Legião Urbana;Geração Coca-Cola;Vamos fazer nosso dever de casa
Legião Urbana;Geração Coca-Cola;E aí então vocês vão ver
Legião Urbana;Geração Coca-Cola;Suas crianças derrubando reis
Legião Urbana;Geração Coca-Cola;Fazer comédia no cinema com as suas leis
Legião Urbana;Geração Coca-Cola;Somos os filhos da revolução
Legião Urbana;Geração Coca-Cola;Somos burgueses sem religião
Legião Urbana;Geração Coca-Cola;Somos o futuro da nação
Legião Urbana;Geração Coca-Cola;Geração Coca-cola
Legião Urbana;Geração Coca-Cola;Geração Coca-cola
Legião Urbana;Geração Coca-Cola;Geração Coca-cola
Legião Urbana;Geração Coca-Cola;Geração Coca-cola
Legião Urbana;O Reggae;Ainda me lembro aos três anos de idade
Legião Urbana;O Reggae;O meu primeiro contato com as grades
Legião Urbana;O Reggae;O meu primeiro dia na escola
Legião Urbana;O Reggae;Como eu senti vontade de ir embora
Legião Urbana;O Reggae;Fazia tudo que eles quisessem
Legião Urbana;O Reggae;Acreditava em tudo que eles me dissessem
Legião Urbana;O Reggae;Me pediram pra ter paciência
Legião Urbana;O Reggae;Falhei, gritaram: cresça e apareça!
Legião Urbana;O Reggae;Cresci e apareci e não vi nada
Legião Urbana;O Reggae;Aprendi o que era certo com a pessoa errada
Legião Urbana;O Reggae;Assistia o jornal da TV
Legião Urbana;O Reggae;E aprendi a roubar pra vencer
Legião Urbana;O Reggae;Nada era como eu imaginava
Legião Urbana;O Reggae;Nem as pessoas que eu tanto amava
Legião Urbana;O Reggae;Mas e daí, se é mesmo assim
Legião Urbana;O Reggae;Vou ver se tiro o melhor pra mim
Legião Urbana;O Reggae;Me ajuda se eu quiser, me faz o que eu pedir
Legião Urbana;O Reggae;Não faz o que eu fizer, mas não me deixe aqui
Legião Urbana;O Reggae;Ninguém me perguntou se eu estava pronto
Legião Urbana;O Reggae;E eu fiquei completamente tonto
Legião Urbana;O Reggae;Procurando descobrir a verdade
Legião Urbana;O Reggae;Nos meios das mentiras da cidade
Legião Urbana;O Reggae;Tentava ver o que existia de errado
Legião Urbana;O Reggae;Quantas crianças Deus já tinha matado
Legião Urbana;O Reggae;Beberam o meu sangue e não me deixam viver
Legião Urbana;O Reggae;Têm o meu destino pronto e não me deixam escolher
Legião Urbana;O Reggae;Vêm falar de liberdade pra depois me prender
Legião Urbana;O Reggae;Pedem identidade pra depois me bater
Legião Urbana;O Reggae;Tiram todas as minhas armas
Legião Urbana;O Reggae;Como posso me defender?
Legião Urbana;O Reggae;Vocês venceram essa batalha
Legião Urbana;O Reggae;Quanto à guerra vamos ver
Legião Urbana;Baader-Meinhof Blues;A violência é tão fascinante
Legião Urbana;Baader-Meinhof Blues;E nossas vidas são tão normais
Legião Urbana;Baader-Meinhof Blues;E você passa de noite e sempre vê
Legião Urbana;Baader-Meinhof Blues;Apartamentos acesos
Legião Urbana;Baader-Meinhof Blues;Tudo parece ser tão real
Legião Urbana;Baader-Meinhof Blues;Mas você viu esse filme também
Legião Urbana;Baader-Meinhof Blues;Andando nas ruas
Legião Urbana;Baader-Meinhof Blues;Pensei que podia ouvir
Legião Urbana;Baader-Meinhof Blues;Alguém me chamando
Legião Urbana;Baader-Meinhof Blues;Dizendo meu nome
Legião Urbana;Baader-Meinhof Blues;Já estou cheio de me sentir vazio
Legião Urbana;Baader-Meinhof Blues;Meu corpo é quente e estou sentindo frio
Legião Urbana;Baader-Meinhof Blues;Todo mundo sabe e ninguém quer mais saber
Legião Urbana;Baader-Meinhof Blues;Afinal, amar o próximo é tão demodê
Legião Urbana;Baader-Meinhof Blues;E essa justiça
Legião Urbana;Baader-Meinhof Blues;Desafinada
Legião Urbana;Baader-Meinhof Blues;É tão humana
Legião Urbana;Baader-Meinhof Blues;E tão errada
Legião Urbana;Baader-Meinhof Blues;Nós assistimos televisão também
Legião Urbana;Baader-Meinhof Blues;Qual é a diferença?
Legião Urbana;Baader-Meinhof Blues;Não estatize meus sentimentos
Legião Urbana;Baader-Meinhof Blues;Pra seu governo, o meu estado
Legião Urbana;Baader-Meinhof Blues;É independente
Legião Urbana;Baader-Meinhof Blues;Oh oh oh
Legião Urbana;Baader-Meinhof Blues;Já estou cheio de me sentir vazio
Legião Urbana;Baader-Meinhof Blues;Meu corpo é quente e estou sentindo frio
Legião Urbana;Baader-Meinhof Blues;Todo mundo sabe e ninguém quer mais saber
Legião Urbana;Baader-Meinhof Blues;Afinal, amar o próximo é tão demodê
Legião Urbana;Soldados;Nossas meninas estão longe daqui
Legião Urbana;Soldados;Não temos com quem chorar e nem pra onde ir
Legião Urbana;Soldados;Se lembra quando era só brincadeira
Legião Urbana;Soldados;Fingir ser soldado a tarde inteira?
Legião Urbana;Soldados;Mas agora a coragem que temos no coração
Legião Urbana;Soldados;Parece medo da morte, mas não era então
Legião Urbana;Soldados;Tenho medo de lhe dizer que eu quero tanto
Legião Urbana;Soldados;Tenho medo e eu sei por que estamos esperando
Legião Urbana;Soldados;Quem é o inimigo? Quem é você?
Legião Urbana;Soldados;Quem é o inimigo? Quem é você?
Legião Urbana;Soldados;Quem é o inimigo? Quem é você?
Legião Urbana;Soldados;Quem é o inimigo? Quem é você?
Legião Urbana;Soldados;Nos defendemos tanto tanto sem saber
Legião Urbana;Soldados;Por que lutar?
Legião Urbana;Soldados;Nossas meninas estão longe daqui
Legião Urbana;Soldados;E de repente eu vi você cair
Legião Urbana;Soldados;Não sei armar o que eu senti
Legião Urbana;Soldados;Não sei dizer que vi você ali
Legião Urbana;Soldados;Quem vai saber o que você sentiu?
Legião Urbana;Soldados;Quem vai saber o que você pensou?
Legião Urbana;Soldados;Quem vai dizer agora o que eu não fiz?
Legião Urbana;Soldados;Como explicar pra você o que eu quis?
Legião Urbana;Soldados;Somos soldados
Legião Urbana;Soldados;Pedindo esmola
Legião Urbana;Soldados;A gente não queria lutar
Legião Urbana;Soldados;A gente não queria lutar
Legião Urbana;Soldados;A gente não queria lutar
Legião Urbana;Soldados;A gente não queria lutar
Legião Urbana;Teorema;Não vá embora, fique um pouco mais
Legião Urbana;Teorema;Ninguém sabe fazer o que você me faz
Legião Urbana;Teorema;É exagero e pode até não ser
Legião Urbana;Teorema;O que você consegue ninguém sabe fazer
Legião Urbana;Teorema;Parece energia mas é só distorção
Legião Urbana;Teorema;E não sabemos se isso é problema
Legião Urbana;Teorema;Ou se é a solução
Legião Urbana;Teorema;Não tenha medo, não preste atenção
Legião Urbana;Teorema;Não dê conselhos, não peça permissão
Legião Urbana;Teorema;É só você quem deve decidir
Legião Urbana;Teorema;O que fazer pra tentar ser feliz
Legião Urbana;Teorema;Parece energia mas é só distorção
Legião Urbana;Teorema;E parece que sempre termina
Legião Urbana;Teorema;Mas não tem fim
Legião Urbana;Teorema;Não vá embora, fique um pouco mais
Legião Urbana;Teorema;Ninguém sabe fazer o que você me faz
Legião Urbana;Teorema;É exagero e pode até não ser
Legião Urbana;Teorema;O que você consegue ninguém sabe fazer
Legião Urbana;Teorema;Parece um teorema sem ter demonstração
Legião Urbana;Teorema;E parece que sempre termina
Legião Urbana;Teorema;Mas não tem fim
Legião Urbana;Por Enquanto;Mudaram as estações
Legião Urbana;Por Enquanto;E nada mudou
Legião Urbana;Por Enquanto;Mas eu sei que alguma coisa aconteceu
Legião Urbana;Por Enquanto;Está tudo assim tão diferente
Legião Urbana;Por Enquanto;Se lembra quando a gente
Legião Urbana;Por Enquanto;Chegou um dia a acreditar
Legião Urbana;Por Enquanto;Que tudo era pra sempre
Legião Urbana;Por Enquanto;Sem saber
Legião Urbana;Por Enquanto;Que o pra sempre sempre acaba
Legião Urbana;Por Enquanto;Mas nada vai conseguir mudar
Legião Urbana;Por Enquanto;O que ficou
Legião Urbana;Por Enquanto;Quando penso em alguém, só penso em você
Legião Urbana;Por Enquanto;E aí então estamos bem
Legião Urbana;Por Enquanto;Mesmo com tantos motivos
Legião Urbana;Por Enquanto;Pra deixar tudo como está
Legião Urbana;Por Enquanto;E nem desistir, nem tentar
Legião Urbana;Por Enquanto;Agora tanto faz
Legião Urbana;Por Enquanto;Estamos indo de volta pra casa
Dois;Daniel na Cova dos Leões;Aquele gosto amargo do teu corpo
Dois;Daniel na Cova dos Leões;Ficou na minha boca por mais tempo
Dois;Daniel na Cova dos Leões;De amargo, então salgado ficou doce
Dois;Daniel na Cova dos Leões;Assim que o teu cheiro forte e lento
Dois;Daniel na Cova dos Leões;Fez casa nos meus braços
Dois;Daniel na Cova dos Leões;E ainda leve, forte, cego e tenso
Dois;Daniel na Cova dos Leões;Fez saber
Dois;Daniel na Cova dos Leões;Que ainda era muito e muito pouco
Dois;Daniel na Cova dos Leões;Faço nosso o meu segredo mais sincero
Dois;Daniel na Cova dos Leões;E desafio o instinto dissonante
Dois;Daniel na Cova dos Leões;A insegurança não me ataca quando erro
Dois;Daniel na Cova dos Leões;E o teu momento passa a ser o meu instante
Dois;Daniel na Cova dos Leões;E o teu medo de ter medo de ter medo
Dois;Daniel na Cova dos Leões;Não faz da minha força confusão
Dois;Daniel na Cova dos Leões;Teu corpo é meu espelho e em ti navego
Dois;Daniel na Cova dos Leões;E eu sei que a tua correnteza não tem direção
Dois;Daniel na Cova dos Leões;Mas, tão certo quanto o erro de ser barco a motor
Dois;Daniel na Cova dos Leões;E insistir em usar os remos
Dois;Daniel na Cova dos Leões;É o mal que a água faz quando se afoga
Dois;Daniel na Cova dos Leões;E o salva-vidas não está lá porque não vemos
Dois;Quase Sem Querer;Tenho andado distraído
Dois;Quase Sem Querer;Impaciente e indeciso
Dois;Quase Sem Querer;E ainda estou confuso, só que agora é diferente
Dois;Quase Sem Querer;Estou tão tranquilo e tão contente
Dois;Quase Sem Querer;Quantas chances desperdicei
Dois;Quase Sem Querer;Quando o que eu mais queria
Dois;Quase Sem Querer;Era provar pra todo o mundo
Dois;Quase Sem Querer;Que eu não precisava provar nada pra ninguém
Dois;Quase Sem Querer;Me fiz em mil pedaços pra você juntar
Dois;Quase Sem Querer;E queria sempre achar explicação pro que eu sentia
Dois;Quase Sem Querer;Como um anjo caído, fiz questão de esquecer
Dois;Quase Sem Querer;Que mentir pra si mesmo é sempre a pior mentira
Dois;Quase Sem Querer;Mas não sou mais
Dois;Quase Sem Querer;Tão criança
Dois;Quase Sem Querer;Oh, oh
Dois;Quase Sem Querer;A ponto de saber tudo
Dois;Quase Sem Querer;Já não me preocupo se eu não sei por que
Dois;Quase Sem Querer;Às vezes o que eu vejo quase ninguém vê
Dois;Quase Sem Querer;E eu sei que você sabe quase sem querer
Dois;Quase Sem Querer;Que eu vejo o mesmo que você
Dois;Quase Sem Querer;Tão correto e tão bonito
Dois;Quase Sem Querer;O infinito é realmente um dos deuses mais lindos
Dois;Quase Sem Querer;Sei que às vezes uso palavras repetidas
Dois;Quase Sem Querer;Mas quais são as palavras que nunca são ditas?
Dois;Quase Sem Querer;Me disseram que você
Dois;Quase Sem Querer;Estava chorando
Dois;Quase Sem Querer;E foi então que eu percebi
Dois;Quase Sem Querer;Como lhe quero tanto
Dois;Quase Sem Querer;Já não me preocupo se eu não sei por que
Dois;Quase Sem Querer;Às vezes o que eu vejo quase ninguém vê
Dois;Quase Sem Querer;E eu sei que você sabe quase sem querer
Dois;Quase Sem Querer;Que eu quero o mesmo que você
Dois;Acrilic On Canvas;É saudade, então
Dois;Acrilic On Canvas;E mais uma vez
Dois;Acrilic On Canvas;De você fiz o desenho
Dois;Acrilic On Canvas;Mais perfeito que se fez
Dois;Acrilic On Canvas;Os traços copiei
Dois;Acrilic On Canvas;Do que não aconteceu
Dois;Acrilic On Canvas;As cores que escolhi
Dois;Acrilic On Canvas;Entre as tintas que inventei
Dois;Acrilic On Canvas;Misturei com a promessa
Dois;Acrilic On Canvas;Que nós dois nunca fizemos
Dois;Acrilic On Canvas;De um dia sermos três
Dois;Acrilic On Canvas;Trabalhei você
Dois;Acrilic On Canvas;Em luz e sombra
Dois;Acrilic On Canvas;E era sempre: Não foi por mal
Dois;Acrilic On Canvas;Eu juro que nunca quis deixar você tão triste
Dois;Acrilic On Canvas;Sempre as mesmas desculpas
Dois;Acrilic On Canvas;E desculpas nem sempre são sinceras
Dois;Acrilic On Canvas;Quase nunca são
Dois;Acrilic On Canvas;Preparei a minha tela
Dois;Acrilic On Canvas;Com pedaços de lençóis
Dois;Acrilic On Canvas;Que não chegamos a sujar
Dois;Acrilic On Canvas;A armação fiz com madeira
Dois;Acrilic On Canvas;Da janela do seu quarto
Dois;Acrilic On Canvas;Do portão da sua casa
Dois;Acrilic On Canvas;Fiz paleta e cavalete
Dois;Acrilic On Canvas;E com lágrimas que não brincaram com você
Dois;Acrilic On Canvas;Destilei óleo de linhaça
Dois;Acrilic On Canvas;Da sua cama arranquei pedaços
Dois;Acrilic On Canvas;Que talhei em estiletes de tamanhos diferentes
Dois;Acrilic On Canvas;E fiz, então
Dois;Acrilic On Canvas;Pincéis com seus cabelos
Dois;Acrilic On Canvas;Fiz carvão do batom que roubei de você
Dois;Acrilic On Canvas;E com ele marquei
Dois;Acrilic On Canvas;Dois pontos de fuga
Dois;Acrilic On Canvas;E rabisquei meu horizonte
Dois;Acrilic On Canvas;E era sempre: Não foi por mal
Dois;Acrilic On Canvas;Eu juro que não foi por mal, eu não queria machucar você
Dois;Acrilic On Canvas;Prometo que isso nunca vai acontecer mais uma vez
Dois;Acrilic On Canvas;E era sempre, sempre o mesmo novamente
Dois;Acrilic On Canvas;A mesma traição
Dois;Acrilic On Canvas;Às vezes é difícil esquecer
Dois;Acrilic On Canvas;Sinto muito, ela não mora mais aqui
Dois;Acrilic On Canvas;Mas então, por que eu finjo
Dois;Acrilic On Canvas;Que acredito no que invento?
Dois;Acrilic On Canvas;Nada disso aconteceu assim
Dois;Acrilic On Canvas;Não foi desse jeito
Dois;Acrilic On Canvas;Ninguém sofreu
Dois;Acrilic On Canvas;É só você
Dois;Acrilic On Canvas;Que me provoca essa saudade vazia
Dois;Acrilic On Canvas;Tentando pintar essas flores com o nome
Dois;Acrilic On Canvas;De amor-perfeito
Dois;Acrilic On Canvas;E não-te-esqueças-de-mim
Dois;Eduardo e Mônica;Quem um dia irá dizer
Dois;Eduardo e Mônica;Que existe razão
Dois;Eduardo e Mônica;Nas coisas feitas pelo coração?
Dois;Eduardo e Mônica;E quem irá dizer
Dois;Eduardo e Mônica;Que não existe razão?
Dois;Eduardo e Mônica;Eduardo abriu os olhos, mas não quis se levantar
Dois;Eduardo e Mônica;Ficou deitado e viu que horas eram
Dois;Eduardo e Mônica;Enquanto Mônica tomava um conhaque
Dois;Eduardo e Mônica;No outro canto da cidade, como eles disseram
Dois;Eduardo e Mônica;Eduardo e Mônica um dia se encontraram sem querer
Dois;Eduardo e Mônica;E conversaram muito mesmo pra tentar se conhecer
Dois;Eduardo e Mônica;Um carinha do cursinho do Eduardo que disse
Dois;Eduardo e Mônica;Tem uma festa legal, e a gente quer se divertir
Dois;Eduardo e Mônica;Festa estranha, com gente esquisita
Dois;Eduardo e Mônica;Eu não tô legal, não aguento mais birita
Dois;Eduardo e Mônica;E a Mônica riu, e quis saber um pouco mais
Dois;Eduardo e Mônica;Sobre o boyzinho que tentava impressionar
Dois;Eduardo e Mônica;E o Eduardo, meio tonto, só pensava em ir pra casa
